,Smiles,sdg
141,CC1=Cc2ccccc2C1,345.0
142,Cn1cccc1,288.0
143,COCC(C)=O,293.0
144,CCCCCCCCCCCCCCCCCCCO,458.0
145,C=CCCCCCCCCCCCCCCCCC,426.0
146,CCCCCCCCCN,339.0
147,CCCCCCCCCS,354.0
148,CCCCCCCCCO,368.0
149,CCCCCCCC(CO)CCCC,406.0
150,CC(C)CCCCCCCO,377.594
151,C=CCCCCCC(C)C,316.0
152,C#CCCCCCCC,306.0
153,CCCCCCCCCCCCCCCCCCO,450.0
154,C=CCCCCCCCCCCCCCCCC,414.0
155,CCCCCCCCN,324.0
156,CCCCCCCCN(CCCCCCCC)CCCCCCCC,458.0
157,CCCCCCCCNCCCCCCCC,415.0
158,CCCCCCCCS,339.0
159,CCCCCCCCO,357.0
160,CCCCCCC(CO)CCCC,382.15
161,CCCCC(C)CCCO,358.0
162,CCC(C)CCCCCO,361.0
163,C=CCCCCCC,281.0
164,C=CCCCCC(C)C,292.0
165,C#CCCCCCC,285.0
166,CCCCCCCCCCCCCCCO,424.0
167,C=CCCCCCCCCCCCCC,377.0
168,CCCCCN,279.0
169,CCCCCN(CCCCC)CCCCC,376.0
170,CCCCCNCCCCC,349.0
171,CCCCCS,291.0
172,CCCCCO,320.0
173,CCCC(C)CO,322.0
174,CCC(C)CCO,328.0
175,C=CCCC,219.0
176,C=C(C)CC(C)(C)C,265.0
177,C=C(CC)CCC,263.0
178,C=C(C)CCC,242.0
179,C=CC(CC)CC,256.0
180,C=CC(C)CC,234.0
181,C=CCC(C)C,234.0
182,C#CCCC,227.0
183,NCCN1CCNCC1,370.0
184,OCCN1CCNCC1,388.0
185,CCCN,243.0
186,CC(C)CN,255.0
187,CC(C)CNCC(C)C,292.0
188,CCO[Si](CCCN)(OCC)OCC,369.26
189,CCCN(CCC)CCC,319.0
190,CCCNCCC,274.0
191,CCCS,253.0
192,CC(C)CS,264.0
193,CCO[Si](CCCS)(OCC)OCC,360.93
194,CCCO,291.0
195,CC(CO)OC(C)(C)C,325.0
196,CC(C)(C)CO,296.0
197,OCC(Cl)CCl,366.0
198,COC(C)CO,306.0
199,CC(C)CO,301.0
200,C=C(C)OC(C)=O,279.0
201,C=CCSCC=C,319.15
202,C=C(C)Cl,230.0
203,C=C(C)C,195.0
204,C=CCCl,242.0
205,CCCCCCCCCCCCCCN,406.0
